,States,date,Total positive,Total negaitive,Total test,deaths
274,New York,July,21560.0,1952739.0,1974299.0,995461
275,New York,June,22684.0,1828429.0,1851113.0,918476
276,New York,March,75789.0,129343.0,205132.0,7943
277,New York,May,66398.0,1096791.0,1163189.0,854088
278,New York,October,27831.0,2297571.0,2325402.0,624674
279,New York,September,23893.0,2460387.0,2484280.0,979548
280,North Carolina,April,9011.0,95919.0,104930.0,4804
281,North Carolina,August,45165.0,453905.0,499070.0,73585
282,North Carolina,July,57478.0,789591.0,847069.0,50375
283,North Carolina,June,36081.0,457663.0,493744.0,34879
284,North Carolina,March,1497.0,21608.0,23105.0,32
285,North Carolina,May,18080.0,270173.0,288253.0,20390
286,North Carolina,October,38118.0,598804.0,636922.0,71933
287,North Carolina,September,43319.0,735380.0,778699.0,94769
288,North Dakota,April,950.0,22262.0,24928.0,296
289,North Dakota,August,5349.0,42450.0,154681.0,3967
290,North Dakota,July,2887.0,44949.0,123041.0,2956
291,North Dakota,June,998.0,33083.0,85809.0,2366
292,North Dakota,March,117.0,4125.0,4068.0,9
293,North Dakota,May,1509.0,43070.0,63656.0,1330
294,North Dakota,October,11820.0,21260.0,132877.0,6347
295,North Dakota,September,10036.0,29701.0,157297.0,5601
296,Northern Mariana Islands,April,12.0,585.0,597.0,54
297,Northern Mariana Islands,August,14.0,1765.0,1779.0,62
298,Northern Mariana Islands,July,12.0,3532.0,3544.0,62
299,Northern Mariana Islands,June,8.0,2036.0,2044.0,60
300,Northern Mariana Islands,March,2.0,0.0,2.0,0
301,Northern Mariana Islands,May,8.0,5566.0,5574.0,62
302,Northern Mariana Islands,October,18.0,611.0,629.0,38
303,Northern Mariana Islands,September,14.0,1628.0,1642.0,60
304,Ohio,April,15828.0,88871.0,104699.0,12517
305,Ohio,August,31998.0,743772.0,775770.0,118706
306,Ohio,July,39370.0,641035.0,680405.0,97128
307,Ohio,June,16276.0,380745.0,397021.0,77119
308,Ohio,March,2199.0,26982.0,29181.0,219
309,Ohio,May,17486.0,239532.0,257018.0,49709
310,Ohio,October,31652.0,781827.0,813479.0,94749
311,Ohio,September,30830.0,891001.0,921831.0,134914
312,Oklahoma,April,3053.0,58575.0,61628.0,3692
313,Oklahoma,August,22246.0,217454.0,239700.0,20766
314,Oklahoma,July,22730.0,261251.0,283981.0,13870
315,Oklahoma,June,7251.0,141140.0,148391.0,10849
316,Oklahoma,March,564.0,1229.0,1793.0,101
317,Oklahoma,May,2888.0,126896.0,129784.0,8877
318,Oklahoma,October,22349.0,240633.0,262982.0,20911
319,Oklahoma,September,28466.0,310284.0,338750.0,27571
320,Oregon,April,1820.0,40386.0,42206.0,1829
321,Oregon,August,8221.0,144814.0,153035.0,12219
322,Oregon,February,0.0,0.0,0.0,0
323,Oregon,July,9836.0,156723.0,166559.0,7946
324,Oregon,June,4413.0,104020.0,108433.0,5420
325,Oregon,March,687.0,13107.0,13794.0,129
326,Oregon,May,1733.0,71436.0,73169.0,4161
327,Oregon,October,6627.0,102817.0,109444.0,11329
328,Oregon,September,6796.0,121849.0,128645.0,15457
329,Pennsylvania,April,40920.0,137957.0,178877.0,30595
330,Pennsylvania,August,21977.0,419371.0,441348.0,233003
331,Pennsylvania,July,25442.0,427243.0,452685.0,217270
332,Pennsylvania,June,14060.0,294470.0,308530.0,188226
333,Pennsylvania,March,4841.0,37645.0,42486.0,268
334,Pennsylvania,May,26783.0,207509.0,234292.0,134081
335,Pennsylvania,October,25905.0,276512.0,302417.0,159672
336,Pennsylvania,September,24942.0,354932.0,379874.0,239575
337,Puerto Rico,April,1300.0,8118.0,9418.0,1450
338,Puerto Rico,August,16418.0,0.0,16418.0,10262
339,Puerto Rico,July,9316.0,113286.0,122602.0,5485
340,Puerto Rico,June,3689.0,132264.0,135953.0,4380
341,Puerto Rico,March,234.0,1186.0,1420.0,35
342,Puerto Rico,May,2237.0,51109.0,53346.0,3633
343,Puerto Rico,October,9888.0,0.0,9888.0,13705
344,Puerto Rico,September,15556.0,0.0,15556.0,16703
345,Rhode Island,April,8448.0,46556.0,62453.0,3459
346,Rhode Island,August,2927.0,64954.0,160288.0,31771
347,Rhode Island,July,2111.0,49822.0,108972.0,30536
348,Rhode Island,June,1923.0,38382.0,91506.0,25484
349,Rhode Island,March,566.0,3542.0,3897.0,17
350,Rhode Island,May,5972.0,48690.0,97298.0,15471
351,Rhode Island,October,3901.0,56553.0,215498.0,21540
352,Rhode Island,September,2799.0,63905.0,245408.0,32422
353,South Carolina,April,5012.0,45801.0,50813.0,3284
354,South Carolina,August,29976.0,226737.0,256713.0,70086
355,South Carolina,July,52617.0,259646.0,312263.0,35108
356,South Carolina,June,24538.0,155818.0,180356.0,18424
357,South Carolina,March,1083.0,4611.0,5694.0,127
358,South Carolina,May,5766.0,137938.0,143704.0,11736
359,South Carolina,October,17551.0,293273.0,310824.0,67178
360,South Carolina,September,28950.0,330600.0,359550.0,92881
361,South Dakota,April,2341.0,10970.0,13311.0,211
362,South Dakota,August,4745.0,30149.0,34894.0,4707
363,South Dakota,July,2000.0,29547.0,31547.0,3471
364,South Dakota,June,1771.0,34189.0,35960.0,2282
365,South Dakota,March,108.0,3604.0,3712.0,22
366,South Dakota,May,2544.0,24556.0,27100.0,1278
367,South Dakota,October,12068.0,31889.0,43957.0,5283
368,South Dakota,September,8880.0,35360.0,44240.0,5746
369,Tennessee,April,8496.0,141770.0,150266.0,3741
370,Tennessee,August,48974.0,638620.0,687594.0,42831
371,Tennessee,July,62450.0,657828.0,720278.0,24839
372,Tennessee,June,20503.0,336647.0,357150.0,14450
373,Tennessee,March,2238.0,25121.0,27359.0,59
374,Tennessee,May,12271.0,246080.0,258351.0,8850
375,Tennessee,October,37430.0,474950.0,512380.0,51322
376,Tennessee,September,41206.0,642151.0,683357.0,62682
377,Texas,April,24821.0,262487.0,287308.0,12274
378,Texas,August,192023.0,1099778.0,1291801.0,320762
379,Texas,February,0.0,0.0,0.0,0
380,Texas,July,260960.0,1539510.0,1800470.0,126673
381,Texas,June,95699.0,821718.0,917417.0,62054
382,Texas,March,3265.0,39726.0,42991.0,270
383,Texas,May,36200.0,585365.0,621565.0,40047
384,Texas,October,84590.0,1122579.0,1207169.0,322153
385,Texas,September,135998.0,1139606.0,1275604.0,440263
386,Utah,April,3785.0,86203.0,89988.0,722
387,Utah,August,11911.0,119034.0,130945.0,11327
388,Utah,February,0.0,0.0,0.0,0
389,Utah,July,17979.0,170178.0,188157.0,7305
390,Utah,June,12420.0,114419.0,126839.0,4294
391,Utah,March,886.0,17626.0,18512.0,20
392,Utah,May,5125.0,100288.0,105413.0,2472
393,Utah,October,23601.0,132853.0,156454.0,9680
394,Utah,September,20935.0,149180.0,170115.0,13068
395,Vermont,April,559.0,10408.0,10967.0,958
396,Vermont,August,210.0,41143.0,41353.0,1793
397,Vermont,July,206.0,28398.0,28604.0,1738
398,Vermont,June,227.0,31567.0,31794.0,1663
399,Vermont,March,320.0,3949.0,4269.0,93
400,Vermont,May,102.0,18632.0,18734.0,1651
401,Vermont,October,204.0,16782.0,16986.0,1102
402,Vermont,September,128.0,26878.0,27006.0,1740
403,Virgin Islands,April,0.0,0.0,0.0,60
404,Virgin Islands,August,0.0,0.0,0.0,319
405,Virgin Islands,July,0.0,0.0,0.0,199
406,Virgin Islands,June,0.0,0.0,0.0,180
407,Virgin Islands,March,0.0,0.0,0.0,0
408,Virgin Islands,May,0.0,0.0,0.0,167
409,Virgin Islands,October,0.0,0.0,0.0,385
410,Virgin Islands,September,0.0,0.0,0.0,548
411,Virginia,April,14596.0,63512.0,91522.0,7019
412,Virginia,August,30706.0,445098.0,473931.0,74189
413,Virginia,July,27101.0,438612.0,451956.0,61641
414,Virginia,June,18180.0,311463.0,301565.0,47056
415,Virginia,March,1250.0,12130.0,14938.0,162
416,Virginia,May,28761.0,195121.0,240924.0,30685
417,Virginia,October,19483.0,345353.0,361952.0,63497
418,Virginia,September,27677.0,443417.0,468697.0,86483
419,Washington,April,8670.0,122522.0,131192.0,16938
420,Washington,August,14370.0,350682.0,365052.0,57397
421,Washington,February,18.0,24.0,42.0,1
422,Washington,January,0.0,0.0,0.0,0
423,Washington,July,23508.0,393010.0,416518.0,46101
424,Washington,June,13564.0,282338.0,295902.0,36893
425,Washington,March,6931.0,81439.0,88370.0,2377
426,Washington,May,7259.0,157019.0,164278.0,30824
427,Washington,October,11619.0,378318.0,389937.0,43502
428,Washington,September,12722.0,380323.0,393045.0,63369
429,West Virginia,April,956.0,39442.0,40398.0,515
430,West Virginia,August,3608.0,148451.0,152059.0,4966
431,West Virginia,July,3737.0,108487.0,112224.0,3101
432,West Virginia,June,895.0,73247.0,74142.0,2613
433,West Virginia,March,162.0,3901.0,4063.0,3
434,West Virginia,May,892.0,52189.0,53081.0,1951
435,West Virginia,October,4671.0,125570.0,130241.0,7176
436,West Virginia,September,5598.0,119923.0,125521.0,8578
437,Wisconsin,April,6467.0,52019.0,58486.0,5402
438,Wisconsin,August,23634.0,290705.0,314339.0,32504
439,Wisconsin,February,0.0,0.0,0.0,0
440,Wisconsin,July,25272.0,342610.0,367882.0,26417
441,Wisconsin,June,11098.0,289436.0,300534.0,21236
442,Wisconsin,March,1584.0,17356.0,18940.0,135
443,Wisconsin,May,12512.0,180709.0,193221.0,13922
444,Wisconsin,October,58705.0,289636.0,348341.0,28073
445,Wisconsin,September,48555.0,250393.0,298948.0,36898
446,Wyoming,April,450.0,6903.0,7353.0,82
447,Wyoming,August,1116.0,21858.0,22974.0,991
448,Wyoming,July,1239.0,18388.0,19627.0,710
449,Wyoming,June,584.0,8695.0,9279.0,555
450,Wyoming,March,109.0,1999.0,2108.0,0
451,Wyoming,May,344.0,14588.0,14932.0,300
452,Wyoming,October,3578.0,13542.0,17120.0,1040
453,Wyoming,September,2106.0,22781.0,24887.0,1375
