state_x,date,Total positive,Total negaitive,Total test
Texas,June,95699,821718,917417
Texas,March,3265,39726,42991
Texas,May,36200,585365,621565
Texas,October,84590,1122579,1207169
Texas,September,135998,1139606,1275604
Utah,April,3785,86203,89988
Utah,August,11911,119034,130945
Utah,July,17979,170178,188157
Utah,June,12420,114419,126839
Utah,March,886,17626,18512
Utah,May,5125,100288,105413
Utah,October,23601,132853,156454
Utah,September,20935,149180,170115
Vermont,April,559,10408,10967
Vermont,August,210,41143,41353
Vermont,July,206,28398,28604
Vermont,June,227,31567,31794
Vermont,March,320,3949,4269
Vermont,May,102,18632,18734
Vermont,October,204,16782,16986
Vermont,September,128,26878,27006
Virginia,April,14596,63512,91522
Virginia,August,30706,445098,473931
Virginia,July,27101,438612,451956
Virginia,June,18180,311463,301565
Virginia,March,1250,12130,14938
Virginia,May,28761,195121,240924
Virginia,October,19483,345353,361952
Virginia,September,27677,443417,468697
Washington,April,8670,122522,131192
Washington,August,14370,350682,365052
Washington,February,18,24,42
Washington,January,0,0,0
Washington,July,23508,393010,416518
Washington,June,13564,282338,295902
Washington,March,6931,81439,88370
Washington,May,7259,157019,164278
Washington,October,11619,378318,389937
Washington,September,12722,380323,393045
West Virginia,April,956,39442,40398
West Virginia,August,3608,148451,152059
West Virginia,July,3737,108487,112224
West Virginia,June,895,73247,74142
West Virginia,March,162,3901,4063
West Virginia,May,892,52189,53081
West Virginia,October,4671,125570,130241
West Virginia,September,5598,119923,125521
Wisconsin,April,6467,52019,58486
Wisconsin,August,23634,290705,314339
Wisconsin,July,25272,342610,367882
Wisconsin,June,11098,289436,300534
Wisconsin,March,1584,17356,18940
Wisconsin,May,12512,180709,193221
Wisconsin,October,58705,289636,348341
Wisconsin,September,48555,250393,298948
Wyoming,April,450,6903,7353
Wyoming,August,1116,21858,22974
Wyoming,July,1239,18388,19627
Wyoming,June,584,8695,9279
Wyoming,March,109,1999,2108
Wyoming,May,344,14588,14932
Wyoming,October,3578,13542,17120
Wyoming,September,2106,22781,24887
